Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Jan-19,EQ,715,721.45,715,723.15,720.6,719.1,718.29,780.8,500.05,"8,15,535","58,57,86,790.00","18,357"
2-Jan-19,EQ,719.15,729.7,709.25,719.1,712.15,712.05,719.31,780.8,500.05,"25,76,769","1,85,34,90,296.80","51,794"
3-Jan-19,EQ,715.05,716,685.25,712.05,693,691.25,696.6,780.8,500.05,"35,58,015","2,47,85,18,160.85","1,04,275"
4-Jan-19,EQ,694.45,697.05,672.5,691.25,681.4,681.1,681.34,780.8,500.05,"39,26,171","2,67,50,46,533.35","1,32,075"
7-Jan-19,EQ,685,690.85,682.55,681.1,687.55,687.5,686.78,780.8,520.7,"18,85,000","1,29,45,88,954.05","45,054"
8-Jan-19,EQ,688,692.4,685.2,687.5,688.05,689.85,688.44,780.8,520.7,"13,00,906","89,55,95,055.40","34,311"
9-Jan-19,EQ,694.2,701.4,684,689.85,692.8,693.7,695.44,780.8,520.7,"21,83,998","1,51,88,39,330.65","61,453"
10-Jan-19,EQ,695,696.95,689.15,693.7,693.2,694.55,693.33,780.8,520.7,"14,54,656","1,00,85,50,548.10","42,807"
11-Jan-19,EQ,694,701.25,687,694.55,697.85,699.2,694.36,780.8,520.7,"18,49,817","1,28,44,34,367.70","70,712"
14-Jan-19,EQ,703,703.1,676.9,699.2,679.85,679.85,685.71,780.8,542.35,"15,58,602","1,06,87,55,959.45","51,187"
15-Jan-19,EQ,682.95,710.8,682.05,679.85,706,706.25,698.31,780.8,542.35,"24,91,520","1,73,98,47,434.45","60,016"
16-Jan-19,EQ,705,705,697,706.25,700.05,699.9,699.73,780.8,542.35,"19,22,647","1,34,53,40,980.65","63,642"
17-Jan-19,EQ,699.5,709.1,696,699.9,705,705.55,703.95,780.8,542.35,"14,34,040","1,00,94,97,074.45","42,846"
18-Jan-19,EQ,705,714.2,702.35,705.55,708.4,709.15,708.76,780.8,542.35,"18,88,004","1,33,81,36,986.55","70,376"
21-Jan-19,EQ,710.35,721.4,709,709.15,712.55,713.9,716.84,780.8,549.7,"25,86,962","1,85,44,47,995.15","55,246"
22-Jan-19,EQ,714,720,701.8,713.9,715.65,714.2,709.52,780.8,549.7,"28,39,669","2,01,47,97,485.10","74,701"
23-Jan-19,EQ,714,725.9,711,714.2,721,720.7,721.22,780.8,549.7,"19,65,283","1,41,74,02,774.55","56,304"
24-Jan-19,EQ,724,730,716.5,720.7,728,727.75,724.18,780.8,549.7,"18,49,102","1,33,90,79,972.95","55,476"
25-Jan-19,EQ,732,735.2,724,727.75,731,729.05,730.89,780.8,549.7,"25,28,541","1,84,80,75,916.65","58,120"
28-Jan-19,EQ,732.2,738,721.15,729.05,734.5,735.15,731.56,780.8,563.65,"18,04,582","1,32,01,55,865.45","56,888"
29-Jan-19,EQ,735.2,742.4,721.4,735.15,733.5,731.5,730.97,780.8,563.65,"31,00,457","2,26,63,48,236.80","84,475"
30-Jan-19,EQ,732,733.4,711.75,731.5,717.2,714.6,719.95,780.8,563.65,"21,39,900","1,54,06,19,238.75","62,090"
31-Jan-19,EQ,718,736.7,718,714.6,730.5,731.9,731.25,780.8,563.65,"32,53,640","2,37,92,19,663.50","82,172"
1-Feb-19,EQ,732.95,750.6,728,731.9,749,746.6,740.7,780.8,563.65,"22,60,029","1,67,39,96,616.85","80,691"
4-Feb-19,EQ,749,752.25,736.6,746.6,751.95,749.15,744.52,780.8,563.65,"15,18,373","1,13,04,63,059.65","52,249"
5-Feb-19,EQ,752,760,740.2,749.15,758.8,751,748.28,780.8,563.65,"24,46,263","1,83,04,95,081.85","49,735"
6-Feb-19,EQ,784,814.5,774,751,812,811.35,797.73,814.5,563.65,"1,48,60,848","11,85,49,28,342.05","2,53,207"
7-Feb-19,EQ,809,816.2,798.1,811.35,805.7,805,805.43,816.2,563.65,"49,66,655","4,00,02,71,200.60","1,18,997"
8-Feb-19,EQ,800,818,800,805,805.3,805.55,809.48,818,563.65,"52,42,725","4,24,38,81,338.95","1,55,976"
11-Feb-19,EQ,809,813.9,804,805.55,809.3,809.4,808.69,818,563.65,"25,41,742","2,05,54,84,928.80","78,420"
12-Feb-19,EQ,809.9,814.9,796.45,809.4,805,805.15,802.7,818,563.65,"24,16,559","1,93,97,73,449.35","77,958"
13-Feb-19,EQ,805,811.1,797.8,805.15,809.55,809.7,806.37,818,563.65,"20,32,331","1,63,88,18,254.90","81,629"
14-Feb-19,EQ,805.8,811.75,800.4,809.7,805.9,805.9,807.32,818,563.65,"24,64,657","1,98,97,65,476.70","74,395"
15-Feb-19,EQ,804.8,804.8,777.25,805.9,802.1,799.65,791.62,818,563.65,"43,12,334","3,41,37,48,153.40","90,145"
18-Feb-19,EQ,815,822,800.5,799.65,805.35,803.45,809.25,822,563.65,"38,51,335","3,11,67,02,547.60","83,929"
19-Feb-19,EQ,807,809,788.85,803.45,792.35,791,795.45,822,563.65,"23,72,030","1,88,68,21,362.95","48,884"
20-Feb-19,EQ,794.05,816.25,785.25,791,812.8,812.4,801.02,822,563.65,"33,40,240","2,67,55,90,655.85","84,064"
21-Feb-19,EQ,814,840,809.1,812.4,821.65,820.65,827.01,840,563.65,"1,41,93,982","11,73,85,55,073.45","2,23,955"
22-Feb-19,EQ,824.9,829.75,818.1,820.65,825,826,824.21,840,563.65,"47,89,937","3,94,79,15,952.45","1,20,167"
25-Feb-19,EQ,830.2,832.9,822.5,826,832.25,830.65,827.76,840,602.45,"28,81,535","2,38,52,08,427.00","91,580"
26-Feb-19,EQ,825,838.4,820.6,830.65,833.65,833.3,831.07,840,602.45,"33,19,590","2,75,88,21,719.90","87,586"
27-Feb-19,EQ,836.4,837.95,820.6,833.3,825,825.6,827.78,840,602.45,"37,03,224","3,06,54,40,377.85","83,746"
28-Feb-19,EQ,833,838.4,825,825.6,827.9,830.15,830.78,840,602.45,"64,09,662","5,32,50,26,977.50","1,00,267"
1-Mar-19,EQ,831,836.5,829.1,830.15,831,831.8,832.1,840,602.45,"38,20,707","3,17,92,15,948.00","95,357"
5-Mar-19,EQ,822.5,824.7,808.05,831.8,810.8,810,813.17,840,603,"49,27,644","4,00,70,02,128.70","1,48,946"
6-Mar-19,EQ,812,829.7,812,810,824.6,823.55,821.79,840,603,"39,99,053","3,28,63,68,741.00","1,14,541"
7-Mar-19,EQ,823.55,825.45,806.25,823.55,809,808.25,813.75,840,603,"23,06,250","1,87,67,15,769.45","57,446"
8-Mar-19,EQ,810.2,813.5,802.6,808.25,810.45,811.35,809.56,840,603,"14,37,045","1,16,33,79,979.20","36,086"
11-Mar-19,EQ,812,814.4,803,811.35,808.25,807.15,808.12,840,603.1,"26,99,806","2,18,17,56,058.20","73,121"
12-Mar-19,EQ,811,813.75,801.15,807.15,805.7,804.7,805.24,840,603.1,"27,93,702","2,24,96,01,713.35","67,139"
13-Mar-19,EQ,808.9,816,788,804.7,790,789.95,797.86,840,603.1,"48,15,576","3,84,21,39,172.80","1,16,368"
14-Mar-19,EQ,792.1,795,775,789.95,790.2,788.45,785.05,840,603.1,"31,12,666","2,44,36,07,510.15","59,949"
15-Mar-19,EQ,794,807.5,787,788.45,800.5,799.3,798.65,840,603.1,"38,54,238","3,07,81,77,015.50","69,455"
